"","bin","completeness","contamination","GC","lineage","N50","size","binner","score","classification","fastani_reference","fastani_reference_radius","fastani_taxonomy","fastani_ani","fastani_af","closest_placement_reference","closest_placement_radius","closest_placement_taxonomy","closest_placement_ani","closest_placement_af","pplacer_taxonomy","classification_method","note","other_related_references.genome_id.species_name.radius.ANI.AF.","msa_percent","translation_table","red_value","warnings","Domain","Phylum","Class","Order","Family","Genus","Species","bestClassification","bestClassificationRank","sample","Name","Type","Location","Niche","LocaNiche","location.and.niche","Micro.niche","count16S","status16S","classification16S","classification16S.DB","classification16S.rank1","classification16S.rank2","classification16S.rank3","classification16S.rank4","classification16S.rank5","classification16S.rank6","classification16S.rank7","classification16S.rank8","LR_sed_top_R1.fastq.Relative.Abundance....","LR_sed_top_R1.fastq.Mean","LR_sed_top_R1.fastq.Variance","LR_sed_top_R1.fastq.RPKM","LR_sed_top_R1.fastq.TPM","LR_sed_bottom_R1.fastq.Relative.Abundance....","LR_sed_bottom_R1.fastq.Mean","LR_sed_bottom_R1.fastq.Variance","LR_sed_bottom_R1.fastq.RPKM","LR_sed_bottom_R1.fastq.TPM","AB2_sed_top_R1.fastq.Relative.Abundance....","AB2_sed_top_R1.fastq.Mean","AB2_sed_top_R1.fastq.Variance","AB2_sed_top_R1.fastq.RPKM","AB2_sed_top_R1.fastq.TPM","AB2_sed_bottom_R1.fastq.Relative.Abundance....","AB2_sed_bottom_R1.fastq.Mean","AB2_sed_bottom_R1.fastq.Variance","AB2_sed_bottom_R1.fastq.RPKM","AB2_sed_bottom_R1.fastq.TPM","AB2_mat_1_R1.fastq.Relative.Abundance....","AB2_mat_1_R1.fastq.Mean","AB2_mat_1_R1.fastq.Variance","AB2_mat_1_R1.fastq.RPKM","AB2_mat_1_R1.fastq.TPM","AB2_mat_2_R1.fastq.Relative.Abundance....","AB2_mat_2_R1.fastq.Mean","AB2_mat_2_R1.fastq.Variance","AB2_mat_2_R1.fastq.RPKM","AB2_mat_2_R1.fastq.TPM","AB2_wall_1_R1.fastq.Relative.Abundance....","AB2_wall_1_R1.fastq.Mean","AB2_wall_1_R1.fastq.Variance","AB2_wall_1_R1.fastq.RPKM","AB2_wall_1_R1.fastq.TPM","AB2_wall_2_R1.fastq.Relative.Abundance....","AB2_wall_2_R1.fastq.Mean","AB2_wall_2_R1.fastq.Variance","AB2_wall_2_R1.fastq.RPKM","AB2_wall_2_R1.fastq.TPM","AB2_WF_1_R1.fastq.Relative.Abundance....","AB2_WF_1_R1.fastq.Mean","AB2_WF_1_R1.fastq.Variance","AB2_WF_1_R1.fastq.RPKM","AB2_WF_1_R1.fastq.TPM","LR_WF_2_R1.fastq.Relative.Abundance....","LR_WF_2_R1.fastq.Mean","LR_WF_2_R1.fastq.Variance","LR_WF_2_R1.fastq.RPKM","LR_WF_2_R1.fastq.TPM"
"AB2_mat_2_bin.58","AB2_mat_2_bin.58",97.29,2.027,0.665,"Bacteria",66910,5898608,"binsBC",32.1407333994054,"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__SZAS-18;g__SZAS-18;s__","N/A","N/A","N/A","N/A","N/A","GCA_018240025.1","95.0","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__SZAS-18;g__SZAS-18;s__SZAS-18 sp018240025","79.54","0.501","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__SZAS-18;g__SZAS-18;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",86.42,11,"0.94735","Genome not assigned to closest species as it falls outside its pre-defined ANI radius","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","SZAS-18","SZAS-18","","SZAS-18","Genus","AB2_mat_2","AB2_mat_2","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.571249,263.17252,14563.147,22.737999,74218.945,5.1472487,297.24823,18377.777,24.450089,80251.91,0,0,0,0,0,0,0,0,0,0,0.0013266949,0.25828964,0.47544745,0.023601139,31.404634,0,0,0,0,0
"AB2_mat_2_bin.59","AB2_mat_2_bin.59",96.1,2.492,0.651,"Burkholderiales",15653,3290666,"binsA",27.5200458190149,"d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__PHCI01;s__","N/A","N/A","N/A","N/A","N/A","GCA_002842205.1","95.0","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__PHCI01;s__PHCI01 sp002842205","88.55","0.876","d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_B;g__PHCI01;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",92.47,11,"0.98603","Genome not assigned to closest species as it falls outside its pre-defined ANI radius","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae_B","PHCI01","","PHCI01","Genus","AB2_mat_2","AB2_mat_2","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",1,"one Sequence","Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;uncultured;","SILVA","Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Comamonadaceae","uncultured","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.415876,196.65625,4044.3933,16.824183,54915.695,3.6258745,209.39049,4522.686,17.07214,56035.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_mat_2_bin.64","AB2_mat_2_bin.64",94.57,1.594,0.545,"Alphaproteobacteria",189680,2696137,"binsA",36.4572089437163,"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__JAGNKE01;s__","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__JAGNKE01;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_018000295.1, s__JAGNKE01 sp018000295, 95.0, 86.15, 0.785; GCA_016699735.1, s__JAGNKE01 sp016699735, 95.0, 85.56, 0.793; GCA_023384135.1, s__JAGNKE01 sp023384135, 95.0, 79.65, 0.45; GCA_020443295.1, s__JAGNKE01 sp020443295, 95.0, 79.19, 0.518; GCA_020638365.1, s__JAGNKE01 sp020638365, 95.0, 78.6, 0.384",95.97,11,"0.97997","Genome not assigned to closest species as it falls outside its pre-defined ANI radius","Bacteria","Pseudomonadota","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","JAGNKE01","","JAGNKE01","Genus","AB2_mat_2","AB2_mat_2","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.940839,514.7352,5487.1143,44.33449,144711.88,9.089788,524.92584,5536.754,43.072105,141374.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_mat_2_bin.66","AB2_mat_2_bin.66",77.79,2.016,0.565,"Clostridia",2143,2110889,"binsC",25.7924403183024,"d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__UBA7703;s__","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Bacillota_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__UBA7703;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_002841395.1, s__UBA7703 sp002841395, 95.0, 84.17, 0.803; GCA_023395595.1, s__UBA7703 sp023395595, 95.0, 83.5, 0.75; GCA_002482505.1, s__UBA7703 sp002482505, 95.0, 83.38, 0.796; GCA_013824375.1, s__UBA7703 sp013824375, 95.0, 83.23, 0.388; GCA_003486785.1, s__UBA7703 sp003486785, 95.0, 83.12, 0.52; GCA_012517905.1, s__UBA7703 sp012517905, 95.0, 81.42, 0.592; GCA_023399275.1, s__UBA7703 sp023399275, 95.0, 80.97, 0.618; GCA_023458615.1, s__UBA7703 sp023458615, 95.0, 80.35, 0.401; GCA_023459335.1, s__UBA7703 sp023459335, 95.0, 79.94, 0.539; GCA_003246365.1, s__UBA7703 sp003246365, 95.0, 79.94, 0.48; GCA_021373115.1, s__UBA7703 sp021373115, 95.0, 78.58, 0.421",64.33,11,"0.98073","Genome not assigned to closest species as it falls outside its pre-defined ANI radius","Bacteria","Bacillota_A","Clostridia","Christensenellales","CAG-138","UBA7703","","UBA7703","Genus","AB2_mat_2","AB2_mat_2","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10348202,5.9575896,14.4887495,0.49431252,1613.4818,0.12940095,7.47277,14.448596,0.5854911,1921.7438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_mat_c_bin.1","AB2_mat_c_bin.1",99.33,0.77,0.436,"algicola",108652,3454540,"binsB",56.1186440677966,"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Sediminicola;s__","N/A","N/A","N/A","N/A","N/A","GCA_022008415.1","95.0","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Sediminicola;s__Sediminicola sp022008415","76.52","0.107","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Sediminicola;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCF_001430825.1, s__Sediminicola sp001430825, 95.0, 76.58, 0.124",98.33,11,"0.94678","N/A","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Sediminicola","","Sediminicola","Genus","AB2_mat_c","AB2_mat_c","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23622249,13.599623,42.576664,1.1818204,3857.5718,0.2533308,14.629591,40.55913,1.2062011,3959.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_mat_c_bin.10","AB2_mat_c_bin.10",95.94,0.579,0.45,"Alphaproteobacteria",304004,2047940,"binsA",60.7599746675111,"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Micavibrionales;f__Micavibrionaceae;g__;s__","taxonomic novelty determined using RED","classification based on placement in class-level tree","N/A",85.46,11,"0.85541","N/A","Bacteria","Pseudomonadota","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","","","Micavibrionaceae","Family","AB2_mat_c","AB2_mat_c","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.22614121,13.019233,30.459412,1.1242005,3669.4949,0.28243434,16.31029,37.152897,1.3404374,4399.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_mat_c_bin.14","AB2_mat_c_bin.14",89.21,0.21,0.565,"Proteobacteria",43920,1324156,"binsBC",73.7272727272727,"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA1280;f__UBA6156;g__JACKLD01;s__","N/A","N/A","N/A","N/A","N/A","GCA_024236095.1","95.0","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA1280;f__UBA6156;g__JACKLD01;s__JACKLD01 sp024236095","77.48","0.243","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA1280;f__UBA6156;g__JACKLD01;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",89.59,11,"0.86766","N/A","Bacteria","Pseudomonadota","Alphaproteobacteria","UBA1280","UBA6156","JACKLD01","","JACKLD01","Genus","AB2_mat_c","AB2_mat_c","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",1,"one Sequence","unclassified",NA,"unclassified","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14379507,8.278461,26.623886,0.7142562,2331.3987,0.14033896,8.104429,22.683159,0.6633326,2177.2407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_mat_c_bin.15","AB2_mat_c_bin.15",90.94,1.542,0.55,"Bacteria",3565,2985740,"binsC",35.7749803304485,"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__DYNR01;g__DYNR01;s__","N/A","N/A","N/A","N/A","N/A","GCA_020720945.1","95.0","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__DYNR01;g__DYNR01;s__DYNR01 sp020720945","78.47","0.229","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Chthoniobacterales;f__DYNR01;g__DYNR01;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",65.98,11,"0.92907","N/A","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Chthoniobacterales","DYNR01","DYNR01","","DYNR01","Genus","AB2_mat_c","AB2_mat_c","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082013436,4.7216163,10.8394985,0.3947627,1288.542,0.07329724,4.232839,9.3179035,0.33729848,1107.1064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_mat_c_bin.18","AB2_mat_c_bin.18",94.88,0.103,0.594,"Bacteria",10197,3105526,"binsA",86.0199456029012,"d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__;s__","taxonomic classification fully defined by topology","classification based on placement in class-level tree","N/A",86.49,11,"0.84738","N/A","Bacteria","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","","","Phycisphaeraceae","Family","AB2_mat_c","AB2_mat_c","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",1,"one Sequence","unclassified",NA,"unclassified","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18470931,10.633945,28.850521,0.9050226,2954.078,0.18337041,10.589451,27.238588,0.85790044,2815.867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_mat_c_bin.20","AB2_mat_c_bin.20",96.64,0.795,0.433,"Flavobacteriaceae",34791,2862180,"binsBC",53.8384401114206,"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__UM-FILTER-40-17;s__","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__UM-FILTER-40-17;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_002841025.1, s__UM-FILTER-40-17 sp002841025, 95.0, 82.24, 0.771; GCA_002790195.1, s__UM-FILTER-40-17 sp002790195, 95.0, 82.13, 0.729; GCA_018829465.1, s__UM-FILTER-40-17 sp018829465, 95.0, 79.87, 0.239",97.56,11,"0.98267","Genome not assigned to closest species as it falls outside its pre-defined ANI radius","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","UM-FILTER-40-17","","UM-FILTER-40-17","Genus","AB2_mat_c","AB2_mat_c","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18429075,10.609849,52.01709,0.9171083,2993.5266,0.15979347,9.227906,40.411625,0.7583418,2489.0874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_mat_c_bin.21","AB2_mat_c_bin.21",92.56,0.715,0.418,"Bacteria",138403,1784160,"binsABC",53.9708454810496,"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__UBA3534;g__;s__","N/A","N/A","N/A","N/A","N/A","GCA_002376875.1","95.0","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__UBA3534;g__UBA3534;s__UBA3534 sp002376875","76.61","0.015","d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales;f__UBA3534;g__;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",89.04,11,"0.7406","N/A","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Opitutales","UBA3534","","","UBA3534","Family","AB2_mat_c","AB2_mat_c","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",1,"one Sequence","unclassified",NA,"unclassified","","","","","","","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.20874332,12.017612,30.083979,1.0449576,3410.8386,0.2096058,12.104517,27.577148,0.9982198,3276.4321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_mat_c_bin.22","AB2_mat_c_bin.22",98.21,0,0.612,"Deltaproteobacteria",40721,3014170,"binsA",98.21,"d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__;s__","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__;s__","taxonomic novelty determined using RED","classification based on placement in class-level tree","N/A",92.19,11,"0.73844","N/A","Bacteria","Desulfobacterota","Desulfobulbia","Desulfobulbales","Desulfobulbaceae","","","Desulfobulbaceae","Family","AB2_mat_c","AB2_mat_c","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00865261,0.3144403,1.1385273,0.7623196,1962.5325,0,0,0,0,0,0.005473503,0.309066,2.111602,0.317609,876.11444,0,0,0,0,0,0.29506427,16.987219,56.792046,1.4583743,4760.2686,0.23165841,13.378033,38.294727,1.0956695,3596.2903,0,0,0,0,0,0,0,0,0,0,0.0014799602,0.28812832,0.6307997,0.026370192,35.08924,0,0,0,0,0
"AB2_mat_c_bin.28","AB2_mat_c_bin.28",83.27,10.3,0.535,"Bacteria",4700,7138181,"binsAB",7.36902654867257,"d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__F1-80-MAGs062;s__","N/A","N/A","N/A","N/A","N/A","GCA_016795105.1","95.0","d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__F1-80-MAGs062;s__F1-80-MAGs062 sp016795105","90.23","0.799","d__Bacteria;p__Planctomycetota;c__Planctomycetia;o__Planctomycetales;f__Planctomycetaceae;g__F1-80-MAGs062;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","GCA_022843805.1, s__F1-80-MAGs062 sp022843805, 95.0, 78.14, 0.1; GCA_020426345.1, s__F1-80-MAGs062 sp020426345, 95.0, 76.0, 0.034; GCA_005809115.1, s__F1-80-MAGs062 sp005809115, 95.0, 75.22, 0.023",59.46,11,"0.98902","Genome has more than 12.5% of markers with multiple hits;Genome not assigned to closest species as it falls outside its pre-defined ANI radius","Bacteria","Planctomycetota","Planctomycetia","Planctomycetales","Planctomycetaceae","F1-80-MAGs062","","F1-80-MAGs062","Genus","AB2_mat_c","AB2_mat_c","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.073390275,4.2251697,9.081041,0.35834593,1169.6742,0.08667639,5.0054717,10.547785,0.40340912,1324.1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_mat_c_bin.3","AB2_mat_c_bin.3",97.82,0.474,0.61,"Alphaproteobacteria",58923,2542412,"binsABC",66.3636363636364,"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__;g__;s__","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__;g__;s__","taxonomic novelty determined using RED","classification based on placement in class-level tree","N/A",96.74,11,"0.67666","N/A","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","","","","Sphingomonadales","Order","AB2_mat_c","AB2_mat_c","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2694234,15.511041,38.762203,1.3358295,4360.27,0.22611453,13.0578785,29.714771,1.0706697,3514.2322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_mat_c_bin.31","AB2_mat_c_bin.31",81.36,6.547,0.641,"Alphaproteobacteria",7359,3173540,"binsAB",10.7804425599576,"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__TH1-2;g__Vitreimonas;s__","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__TH1-2;g__Vitreimonas;s__","ANI","classification based on placement in class-level tree","GCA_023384105.1, s__Vitreimonas sp900696695, 95.0, 78.15, 0.416; GCA_016791385.1, s__Vitreimonas sp016791385, 95.0, 78.07, 0.294; GCF_004634425.1, s__Vitreimonas flagellata, 95.0, 77.93, 0.354; GCA_023242925.1, s__Vitreimonas sp023242925, 95.0, 77.92, 0.318; GCA_003242075.1, s__Vitreimonas sp003242075, 95.0, 77.82, 0.277; GCA_017303355.1, s__Vitreimonas sp017303355, 95.0, 77.77, 0.363; GCA_019753175.1, s__Vitreimonas sp019753175, 95.0, 77.74, 0.271; GCA_002083515.1, s__Vitreimonas sp002083515, 95.0, 77.71, 0.265; GCA_023410295.1, s__Vitreimonas sp023410295, 95.0, 77.61, 0.273; GCA_019753105.1, s__Vitreimonas sp019753105, 95.0, 77.59, 0.271; GCA_003526465.1, s__Vitreimonas sp003526465, 95.0, 77.53, 0.217; GCA_016703335.1, s__Vitreimonas sp016703335, 95.0, 77.47, 0.265; GCF_009792355.1, s__Vitreimonas silvestris, 95.0, 77.45, 0.279; GCA_022843225.1, s__Vitreimonas sp022843225, 95.0, 77.42, 0.266; GCA_023461135.1, s__Vitreimonas sp023461135, 95.0, 77.41, 0.234; GCA_016791325.1, s__Vitreimonas sp016791325, 95.0, 77.41, 0.236; GCA_001464425.1, s__Vitreimonas sp001464425, 95.0, 77.4, 0.287; GCA_022841905.1, s__Vitreimonas sp022841905, 95.0, 77.34, 0.279; GCA_016791365.1, s__Vitreimonas sp016791365, 95.0, 77.28, 0.281; GCA_014378995.1, s__Vitreimonas sp014378995, 95.0, 77.27, 0.27; GCA_021731005.1, s__Vitreimonas sp021731005, 95.0, 77.27, 0.248; GCA_024707365.1, s__Vitreimonas sp024707365, 95.0, 77.27, 0.301; GCA_000974665.1, s__Vitreimonas sp000974665, 95.0, 77.21, 0.238; GCA_016195245.1, s__Vitreimonas sp016195245, 95.0, 77.17, 0.201; GCA_902826245.1, s__Vitreimonas sp902826245, 95.0, 77.17, 0.24; GCF_001679665.1, s__Vitreimonas manganicus, 95.0, 77.15, 0.219; GCA_002343395.1, s__Vitreimonas sp002343395, 95.0, 77.14, 0.196; GCA_020848895.1, s__Vitreimonas sp020848895, 95.0, 77.13, 0.242; GCA_018241475.1, s__Vitreimonas sp018241475, 95.0, 77.09, 0.212; GCA_019636095.1, s__Vitreimonas sp019636095, 95.0, 77.05, 0.232; GCA_902826145.1, s__Vitreimonas sp902826145, 95.0, 76.89, 0.224; GCA_902826035.1, s__Vitreimonas sp902826035, 95.0, 76.85, 0.206",72.59,11,"0.94408","N/A","Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","TH1-2","Vitreimonas","","Vitreimonas","Genus","AB2_mat_c","AB2_mat_c","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11677124,6.7226663,16.70335,0.5703922,1861.8134,0.10196299,5.888257,13.574855,0.47639558,1563.662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AB2_mat_c_bin.33","AB2_mat_c_bin.33",91.02,0.099,0.475,"Bacteria",9861,1605206,"binsA",82.820746132848,"d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__SXRF01;g__JAJTHB01;s__","N/A","N/A","N/A","N/A","N/A","GCA_021299465.1","95.0","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__SXRF01;g__JAJTHB01;s__JAJTHB01 sp021299465","77.12","0.135","d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__SXRF01;g__JAJTHB01;s__","taxonomic classification defined by topology and ANI","classification based on placement in class-level tree","N/A",87.98,11,"0.90624","N/A","Bacteria","Pseudomonadota","Alphaproteobacteria","Rickettsiales","SXRF01","JAJTHB01","","JAJTHB01","Genus","AB2_mat_c","AB2_mat_c","air bell 2 Mat","air bell 2","Mat","air bell 2 Mat","air bell 2 microbial mat","Mat",0,"no hits",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119714014,6.892085,16.219076,0.5912186,1929.7925,0.109210484,6.306792,13.593823,0.5137754,1686.3529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
